SubmissionID,StudentID,Problem,Status,Score,CodeLength,SubmissionTime
43061,30,1,Accepted,30,370,9:54:09
43060,27,1,Accepted,30,206,9:54:00
43059,36,1,Wrong Answer,0,352,9:53:48
43058,83,1,Accepted,30,238,9:53:30
43057,2,2,Wrong Answer,0,309,9:53:09
43056,91,4,Wrong Answer,20,634,9:52:57
43055,65,1,Accepted,30,339,9:52:41
43054,24,4,Runtime Error,10,519,9:52:27
43053,83,1,Accepted,30,234,9:51:50
43052,63,1,Wrong Answer,0,383,9:51:10
43051,96,1,Accepted,30,432,9:50:47
43050,102,1,Accepted,30,349,9:49:45
43049,74,1,Accepted,30,405,9:48:46
43048,83,1,Runtime Error,0,199,9:48:31
43047,91,4,Wrong Answer,10,605,9:48:21
43046,70,3,Accepted,30,924,9:47:24
43045,91,4,Wrong Answer,10,605,9:47:03
43044,60,1,Accepted,30,268,9:46:50
43043,105,1,Accepted,30,302,9:46:16
43042,64,1,Accepted,30,529,9:46:11
43041,56,1,Accepted,30,421,9:45:34
43040,93,1,Accepted,30,474,9:45:33
43039,117,1,Accepted,30,303,9:45:15
43038,29,1,Accepted,30,318,9:45:03
43037,73,1,Accepted,30,414,9:44:36
43036,82,1,Accepted,30,262,9:43:43
43035,41,1,Compile Error,0,402,9:43:42
43034,32,1,Accepted,30,423,9:43:38
43033,12,1,Wrong Answer,0,361,9:43:33
43032,8,1,Accepted,30,222,9:42:54
43031,103,1,Accepted,30,341,9:42:39
43030,56,1,Runtime Error,0,394,9:42:26
43029,70,3,Wrong Answer,10,924,9:42:19
43028,106,1,Accepted,30,447,9:42:12
43027,24,1,Accepted,30,325,9:41:56
43026,94,1,Accepted,30,261,9:41:34
43025,115,1,Accepted,30,256,9:41:23
43024,56,1,Compile Error,0,320,9:41:17
43023,29,1,Wrong Answer,0,316,9:41:13
43022,68,1,Accepted,30,349,9:40:59
43021,98,1,Wrong Answer,0,344,9:40:58
43020,34,1,Accepted,30,229,9:40:09
43019,31,4,Runtime Error,0,606,9:39:42
43018,35,1,Accepted,30,247,9:39:35
43017,1,1,Accepted,30,325,9:39:17
43016,78,1,Accepted,30,313,9:39:05
43015,55,1,Accepted,30,378,9:38:16
43014,67,1,Accepted,30,192,9:38:03
43013,26,1,Accepted,30,393,9:37:49
43012,40,1,Accepted,30,386,9:37:26
43011,79,1,Accepted,30,341,9:37:05
43010,46,1,Accepted,30,272,9:36:51
43009,46,1,Wrong Answer,0,317,9:36:07
43008,25,1,Accepted,30,225,9:34:56
43007,107,1,Accepted,30,221,9:34:46
43006,6,1,Accepted,30,373,9:34:16
43005,16,1,Accepted,30,401,9:34:14
43004,86,1,Accepted,30,243,9:31:09
43003,111,1,Accepted,30,268,9:30:50
