排名,代號,名稱,成交,漲跌價,漲跌幅,財報年度,營收(億),營收成長(%),毛利(億),毛利成長(%),淨利(億),淨利成長(%),毛利(%),毛率增減,淨利(%),淨率增減,ROA(%),ROA增減,ROE(%),ROE增減,EPS(元),EPS增減(元),財報評分
141,2915,潤泰全,70.8,+1.9,+2.8,2018,105,-66.2,62.7,-76.6,104,-22.5,59.7,-26.6,147,+69.4,21.6,-13.3,41.6,-23.2,13.55,-1.6,74
142,6609,瀧澤科,28.45,-0.15,-0.5,2018,33,+15,7.44,+26.1,2.91,+110,22.5,+2,8.81,+3.99,7.41,+3.57,14.1,+6.83,4.02,+2.07,48
143,8342,益張,45.3,0,0,2018,14.5,-1.91,2.55,-3.45,1.14,+63.1,17.6,-0.28,8.05,+3.04,7.76,+2.92,15.2,+5.23,3.43,+1.14,49
144,4987,科誠,64.8,+0.2,+0.3,2018,10.5,+1.81,4.25,+6.1,1.38,+10.8,40.5,+1.64,13.1,+1.07,11.4,+0.88,16.2,+1.27,5.6,+0.51,64
145,6182,合晶,32.4,-0.3,-0.9,2018,92.1,+44.4,34.2,+123,19.1,+535,37.1,+13.1,24.7,+17.6,12.8,+9.67,20.1,+14,3.8,+3.13,68
146,6525,捷敏-KY,64.8,-1.2,-1.8,2018,34.1,+10.3,10.4,-1.46,7.74,+23.5,30.6,-3.64,22.7,+2.43,17.9,+1.93,23.7,+2.44,6.6,+0.72,74
147,5511,德昌,27.25,+0.05,+0.2,2018,53.9,+34.3,9.08,+149,5.16,+75.9,16.8,+7.75,9.48,+2.19,5.87,+1.92,14,+5.37,4.55,+2.19,47
148,6532,瑞耘,29.85,-0.25,-0.8,2018,4.71,+29,1.79,+39.3,1.09,+88.7,38.1,+2.84,23.2,+7.35,17,+6.7,21.4,+8.65,3.46,+1.62,73
149,1452,宏益,18.2,+0.05,+0.3,2018,21.3,+0.79,3.11,-12.2,1.95,-9.61,14.6,-2.16,9.15,-1.05,7.11,-0.96,7.85,-1,1.47,-0.16,57
150,2426,鼎元,15.6,-0.05,-0.3,2018,30.3,-3.08,6.14,-16.1,5.38,+174,20.3,-3.15,16.1,+11.5,7.46,+5,12,+8.14,1.79,+1.13,53
151,3257,虹冠電,52,+0.9,+1.8,2018,7.76,+1.97,3.39,-3.02,1.13,+60.3,43.8,-2.25,14.6,+5.32,6.26,+2.26,6.85,+2.45,1.63,+0.61,70
152,6640,均華,39,+0.1,+0.3,2018,9.22,-5.58,3.14,-5.29,0.87,+35.1,34.1,+0.1,9.49,+2.86,5.68,+0.91,10.2,+2.25,3.33,+0.81,55
153,3580,友威科,27.35,-0.05,-0.2,2018,9.16,-20.7,2.82,-28.7,1.16,-37.2,30.8,-3.46,12.6,-3.31,8.11,-8.65,18.7,-22.7,3.11,-2.18,52
154,2027,大成鋼,39.2,-1.3,-3.2,2018,837,+29.9,182,+59.8,60.4,+455,21.8,+4.06,7.96,+5.73,8.66,+5.85,21.8,+12.9,5.83,+4.58,47
155,3030,德律,48.5,+0.1,+0.2,2018,49.2,+36.6,26.3,+37.8,10.6,+78.9,53.4,+0.48,21.6,+5.12,17,+6.94,20.6,+8.82,4.51,+1.99,73
156,1539,巨庭,23.6,-0.25,-1,2018,25.9,-7.36,2.51,-29.8,3.31,+334,9.69,-3.1,12.8,+10,10.5,+8.07,26.9,+20,5.07,+3.9,53
157,8271,宇瞻,32.8,+0.1,+0.3,2018,94.4,-5.99,13.1,+0.81,3.59,-11.5,13.9,+0.94,3.8,-0.23,8.06,-1.5,13.6,-2.57,3.56,-0.46,49
158,6136,富爾特,19.7,+0.5,+2.6,2018,6.38,-9.6,1.53,-22.8,0.86,-56.5,24,-4.08,13.9,-14.5,3.03,-3.37,3.16,-3.5,0.75,-0.97,57
159,2916,滿心,18.4,-0.2,-1.1,2018,13.1,+0.87,6.26,+0.47,0.83,+15.3,47.8,-0.19,6.37,+0.8,6.81,+0.78,9.17,+1.02,1.53,+0.21,47
160,3014,聯陽,35.5,-0.15,-0.4,2018,33.6,+5.99,17.7,+9.98,4.87,+25,52.7,+1.91,14.5,+2.27,9.89,+1.83,12.6,+2.49,3.08,+0.61,68
161,8131,福懋科,32.9,-0.25,-0.8,2018,87.9,+11.4,16.7,+27.9,14.2,+1.95,19,+2.47,16.2,-1.49,11.4,-0.41,12.7,-0.39,3.21,+0.06,64
162,2451,創見,66,+0.2,+0.3,2018,176,-16,35.3,-36.1,20.8,-21.6,20,-6.32,11.8,-0.85,9.33,-2.3,10.3,-2.72,4.83,-1.34,64
163,8916,光隆,44.5,+0.05,+0.1,2018,102,+19.3,13.5,+9.34,6.18,+623,13.3,-1.21,6.22,+7.51,9.26,+11,18.2,+21.6,5.74,+6.83,45
164,8070,長華,158.5,-0.5,-0.3,2018,158,+11.5,23.2,+16.8,8.56,-1.77,14.7,+0.67,8.35,+0.48,8.26,-0.5,15.7,+0.32,13.47,-0.17,47
165,1617,榮星,13.3,+0.05,+0.4,2018,36.1,+7.9,4.79,-1.97,2.17,+87,13.3,-1.34,5.99,+2.54,6.59,+3.03,12.6,+5.47,1.5,+0.69,49
166,8349,恒耀,62,0,0,2018,108,+4.79,24,-6.26,6.27,-8.93,22.2,-2.62,6.82,-2.25,6.13,-2.13,14,-4.36,5.43,-1.55,43
167,4538,大詠城,16,-0.2,-1.2,2018,6.9,+14.5,1.55,+21.3,0.79,+34.3,22.5,+1.27,11.5,+1.7,9.46,+2.16,13.7,+2.92,1.89,+0.49,55
168,6212,理銘,40,0,0,2018,37.9,+135,10.2,+260,7.67,+350,26.9,+9.36,20.2,+9.69,22.1,+17,37.6,+27.2,7.52,+5.85,72
169,2104,國際中橡,37.4,+0.35,+0.9,2018,244,+21.5,65.8,+18.1,29.9,+31.7,26.9,-0.77,13.3,+1.88,7.54,+0.7,12.3,+0.8,4.18,+0.49,60
170,2357,華碩,200.5,+1.5,+0.8,2018,"3,542",-18.4,520,-12.4,42.4,-72.8,14.7,+1,1.49,-2.21,1.53,-2.99,3.04,-5.8,5.7,-15.2,38
171,6104,創惟,31.65,+0.25,+0.8,2018,18.9,+5.51,9.14,+4.37,2.45,+86.9,48.4,-0.53,13,+5.66,9.31,+4.06,17.6,+8.19,2.73,+1.27,64
172,1340,勝悅-KY,16.15,-0.3,-1.8,2018,20.7,-39.2,3.49,-70.2,1.35,-83.9,16.9,-17.5,6.5,-18,1.95,-10.5,2.05,-11.3,0.97,-5.64,59
173,2478,大毅,33.65,+0.15,+0.4,2018,60.2,+47.6,23.2,+224,13.5,+615,38.6,+21,22.7,+18,17.3,+14.4,25.9,+21.6,7.26,+6.21,66
174,6229,研通,12.55,+0.3,+2.4,2018,16,-8.34,2.3,+19,0.28,+4.56,14.4,+3.31,1.73,+0.21,3.33,-0.2,5.74,+0.13,0.77,+0.04,43
175,3388,崇越電,69,-0.1,-0.1,2018,85.4,+11.4,16.4,+19.8,4.63,+32.3,19.2,+1.36,5.64,+0.81,10,+1.87,14.6,+2.79,7.41,+1.76,51
176,6175,立敦,20.3,-0.2,-1,2018,35.4,+24.6,7.32,+52.8,3.03,-9.1,20.7,+3.82,10.4,-2.58,8.49,-1.43,14.4,-1.34,2.23,-0.23,47
177,6138,茂達,57,-0.3,-0.5,2018,48.5,+14.7,15.1,+20.6,3.93,+38.7,31.2,+1.51,11.7,+3.16,16.1,+5.24,23.2,+7.84,4.41,+1.59,64
178,4916,事欣科,33.55,-0.45,-1.3,2018,85,+52.6,19.7,+50.3,2.45,+192,23.2,-0.36,3.42,+0.44,3.33,+0.33,7.87,+0.84,3.06,+2,34
179,1303,南亞,67.9,0,0,2018,"3,331",+8.79,491,-1.81,527,-3.26,14.7,-1.59,15.8,-1.82,9.45,-0.53,14,-1.06,6.65,-0.22,49
180,2064,晉椿,13.65,-0.2,-1.4,2018,27.4,+12,2.13,-6.52,0.71,+150,7.76,-1.54,2.68,+1.69,2.13,+1.42,5.16,+3.52,1.02,+0.61,34
181,4557,永新-KY,68.3,-1.1,-1.6,2018,15.7,+15.1,4.71,+0.87,1.79,-0.92,30.1,-4.23,11.6,-2.29,10.4,-0.75,14.3,-0.45,5.19,-0.07,57
182,6671,三能-KY,41,-0.65,-1.6,2018,19,-6.42,7.13,-8.13,1.78,-26.8,37.5,-0.7,9.24,-2.61,8.08,-2.84,11.4,-5.44,3.28,-1.24,60
183,2433,互盛電,48.25,-0.05,-0.1,2018,40.9,+9.38,12.4,+9.72,5.28,-4.99,30.4,+0.09,13.3,-1.93,6.47,-0.8,11.6,-1.88,3.66,-0.19,55
184,3211,順達,48.25,+0.15,+0.3,2018,179,+13.9,13.3,+44.2,6.42,+54.6,7.42,+1.56,3.59,+0.95,3.88,+1.29,9.43,+3.35,4.35,+1.54,30
185,5410,國眾,17.95,-0.1,-0.6,2018,32.3,+14.5,5.54,+7.35,1.36,+13.1,17.1,-1.14,4.16,-0.21,6.28,+0.13,12,+0.9,1.58,+0.18,43
186,6115,鎰勝,41.5,+0.2,+0.5,2018,70.4,-0.17,12,-10.9,5.26,+15.8,17.1,-2.05,7.48,+1.03,6.39,+0.93,10.6,+1.66,2.81,+0.37,51
187,2415,錩新,20.8,+0.1,+0.5,2018,22,-2.88,5.67,-10.3,1.01,-28.8,25.8,-2.15,5.72,-1,2.67,-0.83,6.22,-1.66,1.26,-0.39,38
188,8155,博智,77.7,+0.4,+0.5,2018,25.9,+8.11,6.44,+12,3.66,+19.2,24.8,+0.86,14.1,+1.32,15.2,+1.35,23.2,+2.05,7.36,+1.19,61
189,4952,凌通,34.75,-0.05,-0.1,2018,28.4,-9.75,9.83,-11.7,2.84,-20.8,34.6,-0.78,10,-1.4,9.91,-2.36,13.5,-3.23,2.61,-0.69,59
190,6151,晉倫,18.1,0,0,2018,19.2,-0.95,2.96,-3.74,0.81,-30.8,15.4,-0.45,4.21,-1.81,4.44,-1.98,8.55,-3.42,1.46,-0.65,30
191,2015,豐興,55.9,-0.4,-0.7,2018,309,+24.8,41.7,+9.32,29.4,+7.98,13.5,-1.91,9.53,-1.48,13.5,+0.02,16.2,+0.3,5.06,+0.37,53
192,6220,岳豐,27.95,+0.1,+0.4,2018,118,-0.21,27.9,-3.58,3.53,-13.9,23.7,-0.83,3,-0.47,4.42,-0.97,14.2,-2.56,2.84,-0.46,36
193,6292,迅德,32.15,+0.7,+2.2,2018,13.3,-5.27,4,-4.68,0.9,-25.5,30.1,+0.19,6.77,-1.84,5.62,-1.78,9.8,-2.89,1.92,-0.66,57
194,6112,聚碩,34.95,+0.25,+0.7,2018,112,+7.33,10.9,+16.2,3.18,+12.2,9.78,+0.74,3.1,+0.23,5.61,+0.25,14.6,+0.62,2.86,+0.06,34
195,1326,台化,86.7,-0.2,-0.2,2018,"4,079",+13.8,536,+0.71,488,-10.4,13.1,-1.71,13.6,-3.16,9.53,-1.22,13,-2.03,8.36,-0.97,51
196,2356,英業達,21,+0.1,+0.5,2018,"5,069",+8.42,239,-4.62,65,-3.78,4.71,-0.64,1.05,+0.12,2.57,+0.35,9.12,+1.86,1.81,-0.07,32
197,6270,倍微,14,+0.1,+0.7,2018,30.8,+13.8,2.84,+26.6,0.7,+193,9.23,+0.93,2.29,+1.4,4.19,+2.79,5.66,+3.73,0.98,+0.65,43
198,6203,海韻電,35.05,+0.05,+0.1,2018,22.7,+30.6,6.83,+38.4,3.01,+187,30.2,+1.7,13.3,+7.23,13.2,+8.41,19.5,+12.4,3.76,+2.45,60
199,4417,金洲,35.05,-0.05,-0.1,2018,33.4,+16.6,8.84,+10.8,3.68,+56.5,26.5,-1.38,11.5,+1.84,9.21,+2.01,15.1,+3.55,4.41,+1.59,53
200,6218,豪勉,22.45,+0.2,+0.9,2018,12.7,+0.22,5.04,+11,1.09,+50.1,39.6,+3.84,8.6,+2.86,6.57,+1.81,10.4,+3.33,1.7,+0.57,51
201,1530,亞崴,28.1,+0.05,+0.2,2018,48.7,+15.1,8.93,+3.58,3.33,+89,18.3,-2.04,6.84,+2.76,4.33,+1.87,11,+5,3.45,+1.62,43
202,2849,安泰銀,14.05,+0.05,+0.4,2018,64.1,+0.78,無資訊,無資訊,22.1,+5.23,無資訊,無資訊,34.5,+1.46,0.71,+0.03,6.78,+0.05,1.26,+0.02,47
203,2227,裕日車,249.5,-1,-0.4,2018,313,-5.91,53.3,-13.9,58.9,-11.3,17,-1.57,18.8,-1.15,22.7,-1.22,28.3,-2.79,19.63,-2.51,59
204,1527,鑽全,56.5,-0.8,-1.4,2018,37.3,-2.68,11.2,+0.37,10.3,+406,29.9,+0.91,27.6,+22.3,7.17,+5.8,30.3,+24.2,7.48,+6,62
205,6560,欣普羅,42.4,+0.65,+1.6,2018,4.25,+157,1.4,+91,0.62,+614,32.8,-11.3,14.5,+21.7,15.6,+19,19.6,+24,3.55,+4.25,68
206,2850,新產,37.5,+0.2,+0.5,2018,147,+5.67,51.7,+17.1,17.7,+29.7,35,+3.41,12,+2.22,5.44,+1.13,17.4,+2.46,5.6,+1.28,59
207,8497,格威傳媒,49.65,0,0,2018,29.9,+27.1,9.05,+54.2,1.67,+80,30.2,+5.32,7.65,+3.18,14.8,+6.86,25.4,+12.5,5.16,+2.07,55
208,8415,大國鋼,34.05,-0.15,-0.4,2018,167,+48,48.7,+18,11.9,+70.4,29.1,-7.41,7.11,+0.93,5.43,+0.5,8.89,-1.1,1.64,+0.43,47
209,8401,白紗科,12,+0.1,+0.8,2018,14.6,+1.67,3.36,-8.74,0.6,-34.6,23.1,-2.64,4.15,-2.3,3.92,-2.14,6.38,-3.8,0.97,-0.57,45
